ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
9667509,255128000_Taco,3.75,1,Ciutat Vella,1,el Raval,2.1667947,41.3759010,430325.471,4580821.913,2020/05/29,
9667384,255128000_Taco,4.25,1,Ciutat Vella,1,el Raval,2.1677452,41.3751979,430404.200,4580743.085,2020/05/29,
9688859,255128000_Taco,6.34,1,Ciutat Vella,1,el Raval,2.1755393,41.3763988,431057.243,4580870.108,2000/01/01,2020/06/14
9688871,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1756064,41.3762337,431062.682,4580851.771,2000/01/01,2020/06/14
9688881,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1755847,41.3761703,431060.795,4580844.705,2000/01/01,2020/06/14
9688886,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1756230,41.3761625,431063.992,4580843.857,2000/01/01,2020/06/14
9688902,255128000_Taco,5.94,1,Ciutat Vella,1,el Raval,2.1753137,41.3761222,431038.087,4580839.589,2000/01/01,2020/06/14
9688983,255128000_Taco,2.70,1,Ciutat Vella,1,el Raval,2.1752713,41.3763018,431034.725,4580859.630,2000/01/01,2013/03/14
9689926,255128000_Taco,6.00,1,Ciutat Vella,1,el Raval,2.1773491,41.3754022,431207.528,4580758.098,2017/12/15,2020/06/14
9688847,255128000_Taco,6.34,1,Ciutat Vella,1,el Raval,2.1755082,41.3763632,431054.599,4580866.196,2000/01/01,2020/06/14
9689804,255128000_Taco,11.66,1,Ciutat Vella,1,el Raval,2.1772932,41.3758197,431203.293,4580804.507,2020/06/15,
9690793,255128000_Taco,5.33,1,Ciutat Vella,1,el Raval,2.1765161,41.3732259,431135.577,4580517.167,2000/01/01,2020/06/14
9689832,255128000_Taco,7.23,1,Ciutat Vella,1,el Raval,2.1775075,41.3759807,431221.383,4580822.211,2000/01/01,2020/06/14
9694273,255128000_Taco,3.00,1,Ciutat Vella,1,el Raval,2.1761595,41.3772893,431110.038,4580968.515,2020/06/19,
9690851,255128000_Taco,5.50,1,Ciutat Vella,1,el Raval,2.1767066,41.3733081,431151.596,4580526.102,2000/01/01,2020/06/14
9690938,255128000_Taco,5.00,1,Ciutat Vella,1,el Raval,2.1755391,41.3744680,431055.193,4580655.784,2015/04/01,2020/06/14
9691099,255128000_Taco,5.50,1,Ciutat Vella,1,el Raval,2.1768880,41.3745971,431168.125,4580669.018,2017/12/15,2020/06/14
9691135,255128000_Taco,4.00,1,Ciutat Vella,1,el Raval,2.1770611,41.3739209,431181.889,4580593.845,2017/12/15,2020/06/14
9691181,255128000_Taco,6.49,1,Ciutat Vella,1,el Raval,2.1770403,41.3737397,431179.960,4580573.796,2017/12/15,2020/06/14
9691076,255128000_Taco,6.00,1,Ciutat Vella,1,el Raval,2.1767024,41.3746146,431152.625,4580671.163,2017/12/15,2020/06/14
9694695,255128000_Taco,5.36,1,Ciutat Vella,1,el Raval,2.1761246,41.3770284,431106.846,4580939.546,2020/06/19,
9550325,255128000_Taco,4.11,1,Ciutat Vella,1,el Raval,2.1734518,41.3748695,430881.059,4580702.014,2020/02/13,
9552456,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1696347,41.3750152,430562.016,4580721.280,2020/02/13,
9552876,255128000_Taco,2.99,1,Ciutat Vella,1,el Raval,2.1697941,41.3751470,430575.480,4580735.735,2000/01/01,2020/02/12
9552889,255128000_Taco,2.52,1,Ciutat Vella,1,el Raval,2.1701484,41.3751003,430605.059,4580730.248,2000/01/01,2020/02/12
9549472,255128000_Taco,5.75,1,Ciutat Vella,1,el Raval,2.1755467,41.3745405,431055.902,4580663.805,2020/02/13,2020/06/14
8144134,255128000_Taco,3.00,1,Ciutat Vella,1,el Raval,2.1704849,41.3845898,430643.295,4581783.519,2000/01/01,2017/10/19
8151473,255128000_Taco,7.72,1,Ciutat Vella,1,el Raval,2.1637193,41.3833297,430076.247,4581649.058,2000/01/01,2020/07/09
